Code,name,Location,Margin,total_sales,supplier_total_claim,retailer_total_claim,transaction,item
"A012","AD ACCESSORIES SDN.BHD.","BT2","20","16018.70","12803.09","3215.60","564","55"
"A012","AD ACCESSORIES SDN.BHD.","GMS","20","6946.90","5657.53","1289.37","263","28"
"A012","AD ACCESSORIES SDN.BHD.","JRT","20","16968.40","13716.67","3251.73","601","41"
"A012","AD ACCESSORIES SDN.BHD.","MR","20","7297.60","5843.48","1454.12","255","21"
"A012","AD ACCESSORIES SDN.BHD.","RB","20","15063.00","12170.31","2892.68","530","38"
"A012","AD ACCESSORIES SDN.BHD.","SMJ","20","1549.80","1259.52","290.29","59","27"
"A012","AD ACCESSORIES SDN.BHD.","TI2","20","15081.10","12143.13","2937.97","553","50"
"A012","AD ACCESSORIES SDN.BHD.","TKK","20","452.20","359.95","92.25","19","9"
"A012","AD ACCESSORIES SDN.BHD.","TML","20","10976.80","8712.45","2264.35","424","45"
"A012","AD ACCESSORIES SDN.BHD.","TPH","20","9874.20","7948.33","1925.86","364","39"
"A014","ANAKKU SDN BHD","BGJ","20","24.45","19.56","4.89","1","1"
"A014-C","ANAKKU SDN.BHD.","BGJ","20","416.30","346.86","69.44","19","6"
"A030","A.B.CHAMP MARKETING SDN.BHD.","RB","22","11447.50","8976.98","2470.52","201","20"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","BGJ","40","234.00","140.40","93.60","41","5"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","BT2","40","15.90","9.54","6.36","3","3"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","GRK","40","445.00","267.00","178.00","70","4"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","IBN","40","113.00","67.80","45.20","20","6"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","MTK","40","166.60","99.96","66.64","39","16"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","NSB","40","189.00","113.40","75.60","27","4"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","PDS","40","11.80","7.08","4.72","1","2"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","PLU","40","10.00","6.00","4.00","3","2"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","RB","40","242.00","145.20","96.80","51","9"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","SGB","40","154.00","92.40","61.60","36","5"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","SGP","40","644.00","386.40","257.60","126","5"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","SGS","40","1096.40","657.84","438.56","199","14"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","SMJ","40","163.80","98.28","65.52","23","6"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","TI1","40","7.80","4.68","3.12","2","2"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","TI2","40","337.30","202.38","134.92","54","8"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","TJG","40","103.00","61.80","41.20","19","4"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","TKK","40","48.00","28.80","19.20","11","3"
"A031","ANEKA PUBLICATION & DISTRIBUTORS SDN BHD","TML","40","451.90","271.14","180.76","95","8"
"A033","AUDREY SDN BHD","JRT","30","15164.35","12081.23","3083.12","288","21"
"A033","AUDREY SDN BHD","RB","20","18791.49","14950.85","3840.64","393","12"
"A033","AUDREY SDN BHD","SM2","20","1246.95","997.56","249.39","28","7"
"A033","AUDREY SDN BHD","TJG","15","29.00","24.65","4.35","1","1"
"A033","AUDREY SDN BHD","TML","20","4604.00","3683.20","920.80","149","6"
"A058","ALIWAL HOME SDN BHD","IBN","20","1615.35","1296.93","318.42","43","13"
"A058","ALIWAL HOME SDN BHD","JRT","20","6113.80","4903.23","1210.57","82","25"
"A058","ALIWAL HOME SDN BHD","MTK","20","7563.51","6109.19","1454.32","157","37"
"A058","ALIWAL HOME SDN BHD","RB","20","4877.20","3924.92","952.28","125","28"
"A058","ALIWAL HOME SDN BHD","SGS","15","3341.28","2724.80","616.48","70","26"
"A058","ALIWAL HOME SDN BHD","TI2","20","7172.43","5819.62","1352.81","159","35"
"A058","ALIWAL HOME SDN BHD","TPH","15","5550.00","4530.69","1019.30","95","29"
"A068","AIK BEE TRADING SDN. BHD.","NSB","18","2620.60","2141.70","478.90","51","6"
"A169","AROMA POLO SDN BHD ","SMJ","20","2378.00","1986.95","391.05","97","3"
